LaTeXFormula, PlainFormula, gly, m
$$((1-(137^2 + np.pi^2 + e^2 )/(p.H)).2^{128})ƛ_e$$, ((1-(137**2 + np.pi**2 + e**2 )/(p*H))*2**128)*lambdabare, 13.811976831988007e+9, 1.3067139010096895e+26
$$(11/4)^{3/610}R1^2 /R_N$$, (11/4)**(3/610)*R1/R_N, 13.811976526465132e+9, 1.3067138721049939e+26
$$ƛ_e 2^{137} (\gamma n^3 )^2 /(137^3 \Gamma^{11})$$, lambdabare*2**137*(gamma*n**3)**2/(137**3*Gamma**11), 13.81197694785612e+9, 1.3067139119716594e+26
$$(2^{128} / d_e^2)/(H /p )^6.ƛ_e $$, (2**128/d_e**2)/(H/p)**6*lambdabare, 13.81197680040729e+9, 1.306713898021923e+26
$$ƛ_e g(6)/ (1 + \sqrt(137 +\sqrt(136))/jn)$$, ((constants.hbar/(constants.m_e*constants.c))*np.exp(2**(6+(1/2)))/6)/(1+np.sqrt(137**2+np.sqrt(136))/(j*n)), 13.811976768530968e+9, 1.3067138950061902e+26
$$2ƛ_e(pn/H^2)(g(5)/ln (2-1/a^2.j))^2 and g(5)=exp(2^{(5+1/2)/5})$$, 2*lambdabare*(p*n/H**2)*(np.exp(2**(5+(1/2)))/5/np.log(2-((a**2*j)**-1)))**2, 13.811976767663971e+9, 1.306713894924166e+26
$$l_P^2 (20/3)N_Edd exp((4\pi_0 )^{-3} )/ƛ_n$$, l_P**2*(20/3)*N_Edd*np.exp((4*pi_0)**-3)/lambdabar_n, 13.811976758835607e+9, 1.306713894088938e+26 
